Cote;Piece;Intitule;Support;Dimensions_largeur_hauteur);Precision_vue;Observations;Nom_image;Localite;Code_postal;Code_INSEE;Latitude;Longitude
93AJ/316;Carnet n°6;[Esquisse];Papier;35,5 x 11 cm;fol. 2v-3r;;FRAN126_0061_L.jpg;;;;;
93AJ/316;Carnet n°6;[Esquisse];Papier;35,5 x 11 cm;fol. 3v-4r;;FRAN126_0062_L.jpg;;;;;
93AJ/316;Carnet n°6;Vienne;Papier;35,5 x 11 cm;fol. 4v-5r;;FRAN126_0063_L.jpg;Vienne;38200;38544;45.516667;4.866667
93AJ/316;Carnet n°6;« Sous Vienne »;Papier;35,5 x 11 cm;fol. 5v-6r;;FRAN126_0064_L.jpg;;;;;
93AJ/316;Carnet n°6;Tain-l'Hermitage;Papier;35,5 x 11 cm;fol. 6v-7r;;FRAN126_0065_L.jpg;Tain-l'Hermitage;26600;26347;45.066667;4.85
93AJ/316;Carnet n°6;Tournon;Papier;35,5 x 11 cm;fol. 7v-8r;;FRAN126_0066_L.jpg;Tournon;73460;73297;45.633333;44261
93AJ/316;Carnet n°6;Crussol;Papier;35,5 x 11 cm;fol. 8v-9r;;FRAN126_0067_L.jpg;;;;;
93AJ/316;Carnet n°6;Mornas;Papier;35,5 x 11 cm;fol. 9v-10r;;FRAN126_0068_L.jpg;Mornas;84550;84083;44.2;4.733333
93AJ/316;Carnet n°6;Lers (?);Papier;35,5 x 11 cm;fol. 10v-11r;;FRAN126_0069_L.jpg;;;;;
93AJ/316;Carnet n°6;Villeneuve-lès-Avignon;Papier;35,5 x 11 cm;fol. 11v-12r;;FRAN126_0070_L.jpg;;;;;
93AJ/316;Carnet n°6;Mont Ventoux;Papier;35,5 x 11 cm;fol. 12v-13r;;FRAN126_0071_L.jpg;;;;;
93AJ/316;Carnet n°6;Avignon;Papier;35,5 x 11 cm;fol. 13v-14r;;FRAN126_0072_L.jpg;Avignon;84000;84007;43.95;4.816667
93AJ/316;Carnet n°6;Avignon;Papier;35,5 x 11 cm;fol. 14v-15r;;FRAN126_0073_L.jpg;Avignon;84000;84007;43.95;4.816667
93AJ/316;Carnet n°6;Villeneuve-lès-Avignon;Papier;35,5 x 11 cm;fol. 15v-16r;;FRAN126_0074_L.jpg;;;;;
93AJ/316;Carnet n°6;Arles;Papier;35,5 x 11 cm;fol. 16v-17r;;FRAN126_0075_L.jpg;Arles;13200;13004;43.666667;4.633333
93AJ/316;Carnet n°6;Mont Sainte-Victoire;Papier;35,5 x 11 cm;fol. 17v-18r;;FRAN126_0076_L.jpg;;;;;
93AJ/316;Carnet n°6;Aix-en-Provence;Papier;35,5 x 11 cm;fol. 18v-19r;;FRAN126_0077_L.jpg;Aix-en-Provence;13100;13001;43.533333;5.433333
93AJ/316;Carnet n°6;Fréjus;Papier;35,5 x 11 cm;fol. 19v-20r;;FRAN126_0078_L.jpg;Fréjus;83600;83061;43,433888;6,736111
93AJ/316;Carnet n°6;[Croquis de porteurs.];Papier;35,5 x 11 cm;fol. 20v-21r;;FRAN126_0079_L.jpg;;;;;
93AJ/316;Carnet n°6;Fréjus;Papier;35,5 x 11 cm;fol. 21v-22r;;FRAN126_0080_L.jpg;Fréjus;83600;83061;43,433888;6,736111
93AJ/316;Carnet n°6;Saint-Tropez;Papier;35,5 x 11 cm;fol. 22v-23r;;FRAN126_0081_L.jpg;Saint-Tropez;83990;83119;43.266667;6.633333
93AJ/316;Carnet n°6;Saint-Raphaël;Papier;35,5 x 11 cm;fol. 23v-24r;;FRAN126_0082_L.jpg;Saint-Raphaël;24160;24493;45.3;1.066667
93AJ/316;Carnet n°6;Saint-Raphaël;Papier;35,5 x 11 cm;fol. 23v-24r;;FRAN126_0082_L.jpg;Saint-Raphaël;83700;83118;43.416667;6.766667
93AJ/316;Carnet n°6;Cap Roux;Papier;35,5 x 11 cm;fol. 24v-25r;;FRAN126_0083_L.jpg;;;;;
93AJ/316;Carnet n°6;Fréjus;Papier;35,5 x 11 cm;fol. 25v-26r;;FRAN126_0084_L.jpg;Fréjus;83600;83061;43,433888;6,736111
