Nom Société,Date_Creation,Ville,Presence_Quicherat,Id_CTHS
Société d'histoire naturelle et d'anthropologie de Loir-et-Cher (SHNLC),1881-01-01T01:00:00Z,Blois,true,https://cths.fr/an/societe.php?id=1844
Société d'histoire naturelle et des amis du muséum d'Autun (SHNA),1886-01-01T01:00:00Z,Autun,true,https://cths.fr/an/societe.php?id=98
Société d'horticulture d'Angers et du département du Maine-et-Loire (SHA49),1864-01-01T01:00:00Z,Angers,true,https://cths.fr/an/societe.php?id=3111
Société d'horticulture d'Épernay,1873-01-01T01:00:00Z,Épernay,true,https://cths.fr/an/societe.php?id=100304
Société d'horticulture de Meaux,1844-01-01T01:00:00Z,Meaux,true,https://cths.fr/an/societe.php?id=100283
Société d'horticulture de Melun et Fontainebleau,1881-01-01T01:00:00Z,Fontainebleau,true,https://cths.fr/an/societe.php?id=100284
Société d'horticulture de Nantes,1851-01-01T01:00:00Z,Nantes,true,https://cths.fr/an/societe.php?id=100372
Société d'horticulture de Touraine (SHOT 37),1761-01-01T01:00:00Z,Tours,true,https://cths.fr/an/societe.php?id=3360
Société d'horticulture des Yvelines,1840-01-01T01:00:00Z,Versailles,true,https://cths.fr/an/societe.php?id=1459
Société d'horticulture et d'arboriculture des Bouches-du-Rhône (SHABDR ou SHA 13),1846-01-01T01:00:00Z,Marseille,true,https://cths.fr/an/societe.php?id=100717
Société d'horticulture et de viticulture de Bourgogne,1858-01-01T01:00:00Z,Dijon,true,https://cths.fr/an/societe.php?id=100237
Société de Borda,1876-01-01T01:00:00Z,Dax,true,https://cths.fr/an/societe.php?id=1568
Société de géographie de Bourges,1875-01-01T01:00:00Z,Bourges,true,https://cths.fr/an/societe.php?id=2958
Société de géographie de Charleville,1888-01-01T01:00:00Z,Charleville-Mézières,true,https://cths.fr/an/societe.php?id=2978
Société de géographie de Lorient,1882-01-01T01:00:00Z,Lorient,true,https://cths.fr/an/societe.php?id=2970
Société de géographie de Lyon,1873-01-01T01:00:00Z,Lyon,true,https://cths.fr/an/societe.php?id=2836
Société de géographie de Marseille (SGM),1877-01-01T01:00:00Z,Marseille,true,https://cths.fr/an/societe.php?id=582
